,sentence,subsentences
510,"Importantly, not all countries should adjust in the same way, to the same extent, or at the same time, lest their efforts become self-defeating","Importantly , not all countries should adjust in the same way , to the same extent , or at the same time , lest their efforts become self-defeating "
511,"An effective monetary policy communication strategy will remain essential, particularly in an environment of higher financial market volatility","An effective monetary policy communication strategy will remain essential , particularly in an environment of higher financial market volatility "
512,"Reestablishing confidence and resolving the current crisis requires a cohesive, comprehensive, and cooperative package of policies across the G-20","Reestablishing confidence and resolving the current crisis requires a cohesive , comprehensive , and cooperative package of policies across the G-20 "
513,"However, imbalances—based on current policy trajectories—are projected to widen again, signaling the need for further underlying adjustment","However , imbalances based on current policy trajectories are projected to widen again , signaling the need for further underlying adjustment "
514,"In a majority of advanced countries, output gaps remain negative, weak labor markets threaten to permanently scar especially the young in the workforce, and inflation is low and far off target","In a majority of advanced countries , output gaps remain negative , weak labor markets threaten to permanently scar especially the young in the workforce ,"
515,"In a majority of advanced countries, output gaps remain negative, weak labor markets threaten to permanently scar especially the young in the workforce, and inflation is low and far off target",inflation is low and far off target 
516,"In countries facing too-low growth and too-high inflation, macroeconomic policies will have to weigh possible trade-offs","In countries facing too-low growth and too-high inflation , macroeconomic policies will have to weigh possible trade-offs "
517,"A heavy reliance on unconventional monetary policy (UMP), for example, has had overall positive effects and has bought time but needs support from other policies to succeed","A heavy reliance on unconventional monetary policy UMP , for example , has had overall positive effects and has bought time but needs support from other policies to succeed "
518,"In all but the most vulnerable countries, automatic stabilizers should be allowed to operate fully and, where stabilizers are small, temporary support (such as extended unemployment benefits or wage subsidies) could be continued","In all but the most vulnerable countries , automatic stabilizers should be allowed to operate fully"
519,"In all but the most vulnerable countries, automatic stabilizers should be allowed to operate fully and, where stabilizers are small, temporary support (such as extended unemployment benefits or wage subsidies) could be continued",", where stabilizers are small , temporary support such as extended unemployment benefits or wage subsidies could be continued "
520,The effectiveness of the easing in Japan would be enhanced by broadening asset purchases to include more equities and corporate bonds and government bonds with longer maturities and by simultaneously adopting broad structural and fiscal reforms to achieve a sustained recovery,The effectiveness of the easing in Japan would be enhanced by broadening asset purchases to include more equities and corporate bonds and government bonds with longer maturities and by simultaneously adopting broad structural and fiscal reforms to achieve a sustained recovery 
521,"Progress on medium-term fiscal reform would also help quell concerns about political pressure on central banks to keep interest rates too low longer than warranted, given the massive purchases by various central banks of government paper since 2008","Progress on medium-term fiscal reform would also help quell concerns about political pressure on central banks to keep interest rates too low longer than warranted , given the massive purchases by various central banks of government paper since 2008 "
522,"In the euro area, policymakers should work together to demonstrate their continuing commitment to the E.U","In the euro area , policymakers should work together to demonstrate their continuing commitment to the E.U"
523,"Monetary policy can respond more quickly to achieve the desired level of overall stimulus, when fiscal retrenchment begins","Monetary policy can respond more quickly to achieve the desired level of overall stimulus , when fiscal retrenchment begins "
524,"Policies that eliminate distortions to domestic demand in key emerging economies would strengthen prospects for external demand rebalancing, supporting a more robust recovery in both emerging and advanced economies","Policies that eliminate distortions to domestic demand in key emerging economies would strengthen prospects for external demand rebalancing , supporting a more robust recovery in both emerging and advanced economies "
525,"Monetary policy can remain accommodative in the major advanced countries, but central banks need to prepare and clearly communicate credible strategies for unwinding the extraordinary monetary policy support","Monetary policy can remain accommodative in the major advanced countries ,"
526,"Monetary policy can remain accommodative in the major advanced countries, but central banks need to prepare and clearly communicate credible strategies for unwinding the extraordinary monetary policy support",central banks need to prepare and clearly communicate credible strategies for unwinding the extraordinary monetary policy support 
527,"The scale of fiscal adjustment required is large to ensure debt sustainability and to restore room for policy maneuver, particularly in advanced economies","The scale of fiscal adjustment required is large to ensure debt sustainability and to restore room for policy maneuver , particularly in advanced economies "
528,"Vulnerabilities are currently masked by unusually accommodative monetary conditions, but the window of opportunity to prepare the financial system against potential systemic shocks could close unexpectedly","Vulnerabilities are currently masked by unusually accommodative monetary conditions ,"
529,"Vulnerabilities are currently masked by unusually accommodative monetary conditions, but the window of opportunity to prepare the financial system against potential systemic shocks could close unexpectedly",the window of opportunity to prepare the financial system against potential systemic shocks could close unexpectedly 
530,Monetary Policy: Accommodative in Advanced Economies,Monetary Policy : Accommodative in Advanced Economies 
531,"Given excess capacity, recent signs that growth has slowed, and planned fiscal consolidation, current monetary policy accommodation should remain as long as medium-term inflation expectations remain well-anchored","Given excess capacity , recent signs that growth has slowed , and planned fiscal consolidation , current monetary policy accommodation should remain as long as medium-term inflation expectations remain well-anchored "
532,Efforts to increase revenue mobilization and improve expenditure prioritization should continue,Efforts to increase revenue mobilization and improve expenditure prioritization should continue 
533,Policy priorities are thus for a coherent macroeconomic policy mix with a credible nominal anchor and good communication,Policy priorities are thus for a coherent macroeconomic policy mix with a credible nominal anchor and good communication 
534,"An effective response requires strengthening supervision and macro-prudential frameworks, as well as addressing corporate and banking sector vulnerabilities","An effective response requires strengthening supervision and macro-prudential frameworks , as well as addressing corporate and banking sector vulnerabilities "
535,Reducing uncertainties surrounding “Brexit” would help reduce the risk of a protracted tightening of financial conditions,Reducing uncertainties surrounding `` Brexit '' would help reduce the risk of a protracted tightening of financial conditions 
536,"If needed to support demand, fiscal policy— provided space is available—may be the appropriate tool in such cases.","If needed to support demand , fiscal policy provided space is available may be the appropriate tool in such cases ."
537,Monetary policy should continue supporting demand given the still-large output gaps and ongoing fiscal consolidation,Monetary policy should continue supporting demand given the still-large output gaps and ongoing fiscal consolidation 
538,reducing credit spreads in the periphery) is essential to improve the transmission of monetary policy as well as foster sustainable growth,reducing credit spreads in the periphery is essential to improve the transmission of monetary policy as well as foster sustainable growth 
539,There is scope for lower ECB policy rates,There is scope for lower ECB policy rates 
540,"If downside risks materialize, the Federal Reserve, Bank of England, and Bank of Japan should stand ready to expand unconventional support","If downside risks materialize , the Federal Reserve , Bank of England , and Bank of Japan should stand ready to expand unconventional support "
541,Clear communication of central bank intentions is vital to help avoid new financial excesses or abrupt reversals of capital flows,Clear communication of central bank intentions is vital to help avoid new financial excesses or abrupt reversals of capital flows 
542,"To tackle structural imbalances, advanced excess-surplus economies should implement policies to reduce barriers to foreign competition and domestic investments in certain sectors, especially services, and to increase labor force participation of the elderly","To tackle structural imbalances , advanced excess-surplus economies should implement policies to reduce barriers to foreign competition and domestic investments in certain sectors , especially services , and to increase labor force participation of the elderly "
543,"In Brazil, policymakers should stand ready to start unwinding monetary stimulus as the recovery proceeds in order to securely anchor inflation expectations","In Brazil , policymakers should stand ready to start unwinding monetary stimulus as the recovery proceeds in order to securely anchor inflation expectations "
544,"In particular, a Single Resolution Mechanism (SRM) based on an independent centralized authority, with efficient resolution powers— supported by a single resolution fund—would be necessary to ensure least cost and timely resolution","In particular , a Single Resolution Mechanism SRM based on an independent centralized authority , with efficient resolution powers supported by a single resolution fund would be necessary to ensure least cost and timely resolution "
545,"With output gaps still large, and inflation running below target, accommodative monetary conditions remain essential for advanced economies, including in the United States, to avoid cyclical impediments to growth from becoming structural","With output gaps still large , and inflation running below target , accommodative monetary conditions remain essential for advanced economies , including in the United States , to avoid cyclical impediments to growth from becoming structural "
546,"For most countries, fiscal consolidation should be a top priority, with monetary policy able to adjust more flexibly to achieve a desired level of overall stimulus","For most countries , fiscal consolidation should be a top priority , with monetary policy able to adjust more flexibly to achieve a desired level of overall stimulus "
547,"In China, the monetary expansion has quickly fed through to the domestic economy and there may be a need to tighten credit conditions in the face of sharply rising credit growth and the potential for overinvestment","In China , the monetary expansion has quickly fed through to the domestic economy"
548,"In China, the monetary expansion has quickly fed through to the domestic economy and there may be a need to tighten credit conditions in the face of sharply rising credit growth and the potential for overinvestment",there may be a need to tighten credit conditions in the face of sharply rising credit growth and the potential for overinvestment 
549,The challenges of placing fiscal policy on a sustainable path—both political and economic—are greater than for normalizing monetary policy,The challenges of placing fiscal policy on a sustainable path both political and economic are greater than for normalizing monetary policy 
550,"In the United States, further repair of household balance sheets is needed, as middle- income households, who were hurt severely by the housing bust, have made limited progress in repairing their balance sheets","In the United States , further repair of household balance sheets is needed , as middle - income households , who were hurt severely by the housing bust , have made limited progress in repairing their balance sheets "
551,This strikes the right balance between demand support and debt reduction,This strikes the right balance between demand support and debt reduction 
552,Those commodity exporters that still have fiscal buffers should use them to smooth the adjustment to lower commodity prices,Those commodity exporters that still have fiscal buffers should use them to smooth the adjustment to lower commodity prices 
553,"Thus, policy tightening will have to continue","Thus , policy tightening will have to continue "
554,External rebalancing should continue,External rebalancing should continue 
555,"Global imbalances have narrowed sharply after the crisis, reflecting some painful corrections and cyclical factors (see chart)","Global imbalances have narrowed sharply after the crisis , reflecting some painful corrections and cyclical factors see chart "
556,"There monetary policy tightening is needed, along with greater exchange rate flexibility and the use of macroprudential tools","There monetary policy tightening is needed , along with greater exchange rate flexibility and the use of macroprudential tools "
557,Monetary policies in other G-20 advanced economies should remain highly accommodative,Monetary policies in other G-20 advanced economies should remain highly accommodative 
558,"Nonetheless, some economies (for example, Turkey) that rely heavily on private external financing will need to proactively further adjust policies","Nonetheless , some economies for example , Turkey that rely heavily on private external financing will need to proactively further adjust policies "
559,Japan’s newly announced easing measures to achieve a new 2 percent inflation target within 2 years are welcome but they need to be accompanied by ambitious growth and fiscal strategies to reduce risks and ensure sustained recovery that benefits Japan and other economies,Japan 's newly announced easing measures to achieve a new 2 percent inflation target within 2 years are welcome
560,Japan’s newly announced easing measures to achieve a new 2 percent inflation target within 2 years are welcome but they need to be accompanied by ambitious growth and fiscal strategies to reduce risks and ensure sustained recovery that benefits Japan and other economies,they need to be accompanied by ambitious growth and fiscal strategies to reduce risks and ensure sustained recovery that benefits Japan and other economies 
561,"Indeed, a strategy of deploying all available tools can counter damaging perceptions that the policy space to use individual instruments might be limited","Indeed , a strategy of deploying all available tools can counter damaging perceptions that the policy space to use individual instruments might be limited "
562,Countries should continue to rebuild monetary and fiscal policy space where it is limited—considering possible tradeoffs between building buffers and slowing growth—and strengthen policy frameworks where their credibility has come into question,Countries should continue to rebuild monetary and fiscal policy space where it is limited considering possible tradeoffs between building buffers and slowing growth and strengthen policy frameworks where their credibility has come into question 
563,The monetary policy stance needs to remain tight to ensure a durable reduction in inflation and inflation expectations,The monetary policy stance needs to remain tight to ensure a durable reduction in inflation and inflation expectations 
564,A quicker transition period for the mutualization of national contributions to the single resolution fund and a clearer decision on a common backstop and its timing are required to adequately break sovereign-bank links,A quicker transition period for the mutualization of national contributions to the single resolution fund and a clearer decision on a common backstop and its timing are required to adequately break sovereign-bank links 
565,Structural reforms are needed to raise potential output in both advanced and emerging economies,Structural reforms are needed to raise potential output in both advanced and emerging economies 
566,Financial policies need to secure stability and support recovery,Financial policies need to secure stability and support recovery 
567,"With shrinking fiscal buffers, many commodity exporters need to develop new growth models and tackle fiscal adjustment, including through reduced but more efficient public expenditures, stronger fiscal frameworks, and mobilizing new sources of revenues","With shrinking fiscal buffers , many commodity exporters need to develop new growth models and tackle fiscal adjustment , including through reduced but more efficient public expenditures , stronger fiscal frameworks , and mobilizing new sources of revenues "
568,"Given falling confidence and activity as well as well-anchored inflation expectations, monetary policy in advanced G-20 economies should remain very accommodative","Given falling confidence and activity as well as well-anchored inflation expectations , monetary policy in advanced G-20 economies should remain very accommodative "
569,1 This can be achieved even while central banks begin to withdraw the emergency support provided to banks and financial markets,1 This can be achieved even while central banks begin to withdraw the emergency support provided to banks and financial markets 
570,"There is increasing divergence in the monetary policy stances between advanced and emerging economies, reflecting macroeconomic developments, while financial sector support has been extended in some European countries","There is increasing divergence in the monetary policy stances between advanced and emerging economies , reflecting macroeconomic developments , while financial sector support has been extended in some European countries "
571,"In the United States, while the recent bipartisan fiscal agreements was an important positive step, further fiscal efforts are needed to stabilize the debt-to-GDP ratio in the medium-term as interest rates gradually increase and the demographic transition intensifies","In the United States , while the recent bipartisan fiscal agreements was an important positive step , further fiscal efforts are needed to stabilize the ratio in the medium-term as interest rates gradually increase"
572,"In the United States, while the recent bipartisan fiscal agreements was an important positive step, further fiscal efforts are needed to stabilize the debt-to-GDP ratio in the medium-term as interest rates gradually increase and the demographic transition intensifies",the demographic transition intensifies 
573,Fiscal positions should generally aim at rebuilding policy space,Fiscal positions should generally aim at rebuilding policy space 
574,"In countries where fiscal adjustment is needed to avoid destabilizing debt dynamics and rebuild policy buffers, consolidation is appropriate and should be supported by growth-friendly measures (for example, in Italy)","In countries where fiscal adjustment is needed to avoid destabilizing debt dynamics and rebuild policy buffers , consolidation is appropriate and should be supported by growth-friendly measures for example , in Italy "
575,"fiscal policy should ensure that the ratio of debt to GDP is on a downward path, while supporting the longer-term potential of the economy","fiscal policy should ensure that the ratio of debt to GDP is on a downward path , while supporting the longer-term potential of the economy "
576,"In India, more efforts are needed to continue reducing stubbornly high inflation and the large fiscal deficit","In India , more efforts are needed to continue reducing stubbornly high inflation and the large fiscal deficit "
577,Policymakers should stand ready to act more aggressively should the impact of financial market turbulence and higher uncertainty threaten to materially weaken the global outlook,Policymakers should stand ready to act more aggressively should the impact of financial market turbulence and higher uncertainty threaten to materially weaken the global outlook 
578,Deploying macro-prudential tools—which in some cases may require changes to regulatory and legal structures—is essential to limit financial risks and reduce the risk of monetary policy tightening not warranted by the cyclical position,Deploying macro-prudential tools which in some cases may require changes to regulatory and legal structures is essential to limit financial risks and reduce the risk of monetary policy tightening not warranted by the cyclical position 
579,"Specifically: In the United States, the main challenge is to reach the appropriate speed of monetary policy normalization, which is made difficult by uncertainties about the cyclical position and monetary transmission","Specifically : In the United States , the main challenge is to reach the appropriate speed of monetary policy normalization , which is made difficult by uncertainties about the cyclical position and monetary transmission "
580,"This includes paying interest on excess reserves, even while central bank balance sheets continue to provide support to some markets.","This includes paying interest on excess reserves , even while central bank balance sheets continue to provide support to some markets ."
581,"In the United Kingdom, still accommodative monetary policy has been combined with macro- prudential tools to contain financial stability risks","In the United Kingdom , still accommodative monetary policy has been combined with macro - prudential tools to contain financial stability risks "
582,"There is scope for better cooperation on unwinding UMP, especially through wider central bank discussions of exit plans","There is scope for better cooperation on unwinding UMP , especially through wider central bank discussions of exit plans "
583,"The government should pursue fiscal consolidation by addressing rigidities and unsustainable mandates on the spending side, including in the social security system, and through tax measures and discretionary spending cuts to bolster fiscal results in the short run","The government should pursue fiscal consolidation by addressing rigidities and unsustainable mandates on the spending side , including in the social security system , and through tax measures and discretionary spending cuts to bolster fiscal results in the short run "
584,"In some emerging economies (for example, Brazil, emerging Asia), owing to rapidly closing output gaps or concerns about credit quality, monetary accommodation is already being removed or will need be to be removed relatively soon","In some emerging economies for example , Brazil , emerging Asia , owing to rapidly closing output gaps or concerns about credit quality , monetary accommodation is already being removed or will need be to be removed relatively soon "
585,"Insufficient progress with repair and reform is weighing on credit, and slowing the normalization of monetary and fiscal policies, with adverse spillovers on emerging economies","Insufficient progress with repair and reform is weighing on credit , and slowing the normalization of monetary and fiscal policies , with adverse spillovers on emerging economies "
586,Monetary policy tightening may also be necessary should inflation expectations worsen.,Monetary policy tightening may also be necessary should inflation expectations worsen .
587,Prospects for an uneven recovery points to an asynchronous unwinding of monetary stimulus in advanced economies,Prospects for an uneven recovery points to an asynchronous unwinding of monetary stimulus in advanced economies 
588,"Monetary policy must remain the first line of defense, although this line is becoming increasingly thin in most advanced economies","Monetary policy must remain the first line of defense , although this line is becoming increasingly thin in most advanced economies "
589,"In sequencing an exit from crisis-related policies, fiscal policy should generally take priority","In sequencing an exit from crisis-related policies , fiscal policy should generally take priority "
590,Collective efforts to enhance the global safety net and strengthen the resilience of the International Monetary System (IMS) should be renewed,Collective efforts to enhance the global safety net and strengthen the resilience of the International Monetary System IMS should be renewed 
591,The appropriate course for policy to balance fostering growth and managing vulnerabilities will be country-specific,The appropriate course for policy to balance fostering growth and managing vulnerabilities will be country-specific 
592,"Brazil continues to face a considerable inflation challenge, with inflation exceeding the upper limit of the inflation target band, which requires further monetary tightening","Brazil continues to face a considerable inflation challenge , with inflation exceeding the upper limit of the inflation target band , which requires further monetary tightening "
593,A number of distortions keep saving high in key surplus countries,A number of distortions keep saving high in key surplus countries 
594,Central banks will need to devise plans to exit from unconventional measures to ensure a smooth return to private intermediation and to forestall concerns that inflation could rise rapidly,Central banks will need to devise plans to exit from unconventional measures to ensure a smooth return to private intermediation and to forestall concerns that inflation could rise rapidly 
595,"A number of these economies, notably in Asia, are already enjoying relatively vigorous rebounds of activity","A number of these economies , notably in Asia , are already enjoying relatively vigorous rebounds of activity "
596,"With fiscal stimulus gradually receding, a premature tightening of monetary policy could undercut the recovery","With fiscal stimulus gradually receding , a premature tightening of monetary policy could undercut the recovery "
597,Monetary authorities need to prevent such rises from generating successive wage-price increases,Monetary authorities need to prevent such rises from generating successive wage-price increases 
598,Collective effort is also required to further enhance global safety nets and strengthen the International Monetary System,Collective effort is also required to further enhance global safety nets and strengthen the International Monetary System 
599,Safeguarding banking system stability is also a priority,Safeguarding banking system stability is also a priority 
600,"Hence, the program should be extended if there is not sufficient improvement in inflation consistent with meeting medium-term price stability objectives","Hence , the program should be extended if there is not sufficient improvement in inflation consistent with meeting medium-term price stability objectives "
601,"Monetary and fiscal policies can help to reduce inflows if the central bank has exhausted the sterilization possibilities and risks losing monetary control, or does not want to accumulate further reserves (assuming that further exchange rate appreciation would not be appropriate)","Monetary and fiscal policies can help to reduce inflows if the central bank has exhausted the sterilization possibilities and risks losing monetary control , or does not want to accumulate further reserves assuming that further exchange rate appreciation would not be appropriate "
602,This will require making tangible progress toward a genuine economic monetary union—starting with a banking union with greater fiscal integration,This will require making tangible progress toward a genuine economic monetary union starting with a banking union with greater fiscal integration 
603,"ample liquidity and easy monetary policy, mainly in advanced economies","ample liquidity and easy monetary policy , mainly in advanced economies "
604,"Accommodative monetary policies should be accompanied by efforts to strengthen balance sheets and credit supply, and by active macroprudential measures that address financial stability risks","Accommodative monetary policies should be accompanied by efforts to strengthen balance sheets and credit supply , and by active macroprudential measures that address financial stability risks "
605,"For some countries, using fiscal policy to contain demand pressures may be preferable if tighter monetary conditions risk exacerbating pressures from capital inflows","For some countries , using fiscal policy to contain demand pressures may be preferable if tighter monetary conditions risk exacerbating pressures from capital inflows "
606,"Thus, the first challenge is when to raise interest rates and the second is how to withdraw excess liquidity","Thus , the first challenge is when to raise interest rates"
607,"Thus, the first challenge is when to raise interest rates and the second is how to withdraw excess liquidity",the second is how to withdraw excess liquidity 
608,"2 In countries where fiscal adjustment is needed, consolidation should be gradual and as growth-friendly as possible, while structural reforms should prioritize lower-cost measures that could have a beneficial impact on public finances over the medium-term","2 In countries where fiscal adjustment is needed , consolidation should be gradual and as growth-friendly as possible , while structural reforms should prioritize lower-cost measures that could have a beneficial impact on public finances over the medium-term "
609,This would help pass- through of monetary accommodation,This would help pass - through of monetary accommodation 
610,"In the euro area, restoring the transmission channel requires addressing counterparty risk in the interbank market and the redenomination risk","In the euro area , restoring the transmission channel requires addressing counterparty risk in the interbank market and the redenomination risk "
611,Dealing with commodity price rises poses a particular challenge,Dealing with commodity price rises poses a particular challenge 
612,"In emerging economies, managing vulnerabilities and rebuilding resilience are high priorities in a context of tightening external financial conditions","In emerging economies , managing vulnerabilities and rebuilding resilience are high priorities in a context of tightening external financial conditions "
613,"A successful resolution of the current crisis will thus require a cohesive, comprehensive, and cooperative package of policies across the G-20","A successful resolution of the current crisis will thus require a cohesive , comprehensive , and cooperative package of policies across the G-20 "
614,"More generally, where monetary policy is constrained, as in individual euro area members, fiscal and structural policies to facilitate relative price adjustments should take priority.","More generally , where monetary policy is constrained , as in individual euro area members , fiscal and structural policies to facilitate relative price adjustments should take priority ."
615,"Further actions could include longer- term LTROs (possibly targeted to SMEs), and further rate cuts, including mildly negative deposit rates, to support demand and reduce fragmentation","Further actions could include longer - term LTROs possibly targeted to SMEs , and further rate cuts , including mildly negative deposit rates , to support demand and reduce fragmentation "
616,"Along with addressing sovereign tensions, removing uncertainty about the resilience of banks is the top priority for the euro area","Along with addressing sovereign tensions , removing uncertainty about the resilience of banks is the top priority for the euro area "
617,"Also, a tightening of the fiscal stance may help monetary and debt management, while a monetary tightening will contribute to a worsening of the fiscal position","Also , a tightening of the fiscal stance may help monetary and debt management , while a monetary tightening will contribute to a worsening of the fiscal position "
618,"In Brazil, an appropriate macroeconomic policy mix and restored policy frameworks are imperative for a turnaround in confidence and investment once major political uncertainties are resolved","In Brazil , an appropriate macroeconomic policy mix and restored policy frameworks are imperative for a turnaround in confidence and investment once major political uncertainties are resolved "
619,The overall pace of policy adjustment and removal of financial support will depend on the strength of recovery in private demand in each country and enduring financial stability,The overall pace of policy adjustment and removal of financial support will depend on the strength of recovery in private demand in each country and enduring financial stability 
620,Monetary policy stances are generally aligned with IMF recommendations,Monetary policy stances are generally aligned with IMF recommendations 
621,In response to negative growth surprises in the euro area flexibility within the fiscal governance framework could and should be used where possible to avoid triggering additional consolidation efforts,In response to negative growth surprises in the euro area flexibility within the fiscal governance framework could and should be used where possible to avoid triggering additional consolidation efforts 
622,"To unwind policies in an orderly manner and reassure markets, policy makers will need to develop (and communicate) plans that achieve timely and smooth exits for extraordinary monetary, fiscal, and financial sector interventions, while being careful to avoid a premature withdrawal of support that could set back the healing process and the incipient recovery","To unwind policies in an orderly manner and reassure markets , policy makers will need to develop and communicate plans that achieve timely and smooth exits for extraordinary monetary , fiscal , and financial sector interventions , while being careful to avoid a premature withdrawal of support that could set back the healing process and the incipient recovery "
623,"The Federal Open Market Committee’s (FOMC) decision should remain data-dependent, with the first increase in the federal funds rate waiting until continued strength in the labor market is accompanied by firm signs of inflation rising steadily toward the Federal Reserve’s 2 percent medium-term inflation objective","The Federal Open Market Committee 's FOMC decision should remain data-dependent , with the first increase in the federal funds rate waiting until continued strength in the labor market is accompanied by firm signs of inflation rising steadily toward the Federal Reserve 's 2 percent medium-term inflation objective "
624,Monetary policy in emerging economies has to balance the need to support demand against the risk of exacerbating capital outflows or deteriorating credit quality,Monetary policy in emerging economies has to balance the need to support demand against the risk of exacerbating capital outflows or deteriorating credit quality 
625,"Where monetary policy operates near or at the lower bound, growth-friendly fiscal policy has an important role to play","Where monetary policy operates near or at the lower bound , growth-friendly fiscal policy has an important role to play "
626,Stricter regulation of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard,Stricter regulation of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard 
627,Vulnerabilities in corporate financial positions and public bank asset quality could threaten financial stability if left unaddressed,Vulnerabilities in corporate financial positions and public bank asset quality could threaten financial stability if left unaddressed 
628,The strategy for fiscal consolidation should be outlined and communicated now,The strategy for fiscal consolidation should be outlined and communicated now 
629,"In contrast, where inflation is still below central bank targets and output gaps remain negative, monetary policy should stay supportive (Japan, euro area) and available fiscal space should be used actively to provide further additional support","In contrast , where inflation is still below central bank targets and output gaps remain negative , monetary policy should stay supportive Japan , euro area and available fiscal space should be used actively to provide further additional support "
630,"Strengthening transparency, especially in communicating policy objectives and enhancing data quality, will be key to minimize spillovers and financial volatility","Strengthening transparency , especially in communicating policy objectives and enhancing data quality , will be key to minimize spillovers and financial volatility "
631,"An effective monetary policy communication strategy will remain essential, also in light of differences between market and FOMC expectations about the path of short-term interest rates","An effective monetary policy communication strategy will remain essential , also in light of differences between market and FOMC expectations about the path of short-term interest rates "
632,"Where monetary policy is becoming over- burdened, domestic policy coordination can help to make macroeconomic support effective","Where monetary policy is becoming over - burdened , domestic policy coordination can help to make macroeconomic support effective "
633,Financial sector reforms also need to be urgently completed,Financial sector reforms also need to be urgently completed 
634,"One of the key lessons from experiences of similar crises is that withdrawing policy stimulus too early can be very costly, particularly if the financial system remains vulnerable and prone to adverse shocks","One of the key lessons from experiences of similar crises is that withdrawing policy stimulus too early can be very costly , particularly if the financial system remains vulnerable and prone to adverse shocks "
635,"In emerging economies, monetary policy may need to respond more sensitively to first-round inflation shocks from higher commodity prices due to higher pass-through (mainly for food prices, less so for energy), less well-anchored inflation expectations, and economies that are operating closer to, or above, capacity.","In emerging economies , monetary policy may need to respond more sensitively to first-round inflation shocks from higher commodity prices due to higher pass-through mainly for food prices , less so for energy , less well-anchored inflation expectations , and economies that are operating closer to , or above , capacity ."
636,"While the recent cabinet decision on the fiscal and growth strategies is welcome, more concrete and decisive measures should be formulated in the near future","While the recent cabinet decision on the fiscal and growth strategies is welcome , more concrete and decisive measures should be formulated in the near future "
637,Stricter treatment of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard,Stricter treatment of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard 
638,"The unwinding of medium- and long-term asset purchases is likely to be more gradual, and new instruments may be required to re-absorb liquidity in a manner that balances the risks to economic growth and price stability","The unwinding of medium - and long-term asset purchases is likely to be more gradual ,"
639,"The unwinding of medium- and long-term asset purchases is likely to be more gradual, and new instruments may be required to re-absorb liquidity in a manner that balances the risks to economic growth and price stability",new instruments may be required to re-absorb liquidity in a manner that balances the risks to economic growth and price stability 
640,"This suggests that the timing of exits will be country specific, although coordination on some specific fronts is desirable","This suggests that the timing of exits will be country specific , although coordination on some specific fronts is desirable "
641,and the monetary union including by agreeing on a common policy response to the refugee surge and securing external borders,the monetary union including by agreeing on a common policy response to the refugee surge and securing external borders 
642,"In Japan, the recently announced additional fiscal stimulus is set to boost demand (along with expansionary monetary policy), but it also provides an opportunity to accelerate the impact of much-needed structural reforms, in particular in the labor market","In Japan , the recently announced additional fiscal stimulus is set to boost demand along with expansionary monetary policy ,"
643,"In Japan, the recently announced additional fiscal stimulus is set to boost demand (along with expansionary monetary policy), but it also provides an opportunity to accelerate the impact of much-needed structural reforms, in particular in the labor market","it also provides an opportunity to accelerate the impact of much-needed structural reforms , in particular in the labor market "
644,"The Federal Open Market Committee’s (FOMC) decision should remain data-dependent and with little evidence of meaningful wage and price pressures so far, the normalization is expected to be gradual","The Federal Open Market Committee 's FOMC decision should remain data-dependent and with little evidence of meaningful wage and price pressures so far , the normalization is expected to be gradual "
645,"Priority should be given to fiscal consolidation (particularly in countries where current account deficits are widening), with monetary policy remaining the first line of defense","Priority should be given to fiscal consolidation particularly in countries where current account deficits are widening , with monetary policy remaining the first line of defense "
646,"Addressing corporate and bank vulnerabilities is a priority in many G-20 countries, including in several emerging economies and the euro area, where the structural overcapacity of the financial sector elevates operation costs and reduces profitability","Addressing corporate and bank vulnerabilities is a priority in many G-20 countries , including in several emerging economies and the euro area , where the structural overcapacity of the financial sector elevates operation costs and reduces profitability "
647,The focus of macroeconomic policies should remain on addressing vulnerabilities and rebuilding policy buffers,The focus of macroeconomic policies should remain on addressing vulnerabilities and rebuilding policy buffers 
648,"Foreign exchange swap and forward markets have also improved, as a result of the Fed’s Term Auction Facility (TAF), central bank currency swap arrangements, and effectively unlimited funding from the ECB (up to 1 year) which has reduced European bank demand for dollar funding","Foreign exchange swap and forward markets have also improved , as a result of the Fed 's Term Auction Facility TAF , central bank currency swap arrangements , and effectively unlimited funding from the ECB up to 1 year which has reduced European bank demand for dollar funding "
649,"The policy response would be to lower interest rates, thus reducing incentives for inflows, and to tighten fiscal policy–particularly when capital inflows are driven by fiscal expansion–thus reducing currency appreciation pressures","The policy response would be to lower interest rates , thus reducing incentives for inflows , and to tighten fiscal policy particularly when capital inflows are driven by fiscal expansion thus reducing currency appreciation pressures "
650,"Finally, lack of credibility, notably where inflation is above target, complicates the monetary policy response as exchange rate depreciation could feed into inflation expectations and lead to a worsening inflation outlook.","Finally , lack of credibility , notably where inflation is above target , complicates the monetary policy response as exchange rate depreciation could feed into inflation expectations and lead to a worsening inflation outlook ."
