index,sentence,hirose_san_score,hirose_san_topic
20100227_1_24_1_2,"if the central bank has exhausted the sterilization possibilities and risks losing monetary control , or does not want to accumulate further reserves assuming",0,0
20100227_1_8_1_1,an expansionary fiscal stance has a clear and direct impact on the build-up of debt,,
20100227_1_22_1_1,Fiscal tightening should also be the priority,0,0
20100227_1_18_1_1,"The key objective will be to maintain price stability ,",,
20100227_1_15_1_1,"Monetary policy can remain accommodative in the major advanced countries ,",,
20100227_1_26_1_4,while both political considerations and implementation lags may limit the scope for fiscal consolidation .,0,0
20100227_1_9_1_1,"an accommodative monetary policy stance ,",0,0
20100227_1_23_1_1,"Under some circumstances , reserve accumulation , restrictions on capital inflows and macro-prudential measures could also form part of the policy mix",,
20100227_1_25_1_2,when capital inflows are driven by fiscal expansion thus reducing currency appreciation pressures,0,0
20100227_1_9_1_2,"which can be reversed quickly , has few obvious direct downsides",0,0
20100227_1_13_1_2,as there is clear evidence of self-sustaining recovery,,
20100227_1_19_1_1,"In a number of emerging economies , monetary policy may have to be tightened relatively soon or further",-9,-9
20100227_1_4_1_1,advanced economies with large surpluses should prioritize structural reforms in labor and product markets,0,0
20100227_1_24_1_3,that further exchange rate appreciation would not be appropriate,0,0
20100227_1_24_1_1,Monetary and fiscal policies can help to reduce inflows,0,0
20100227_1_17_1_1,"Unwinding should be tractable and central banks have the tools needed to tighten policy ,",,
20100227_1_22_1_2,"where stimulus measures have contributed directly to a strong rebound in domestic demand , or",0,0
20100227_1_1_1_1,"Exiting from crisis-related public support policies should be viewed in the context of bridging towards strong , sustained and balanced growth with price stability",,
20100227_1_22_1_3,where market concerns regarding public debt sustainability are high or rising,0,0
20100227_1_2_1_1,"this objective will require meeting the onerous challenges to fiscal sustainability , normalizing monetary policy carefully withdrawing financial sector support , and avoiding policy inconsistencies across countries , as well as in the policy mix",0,0
20100227_1_26_1_2,"if the economy is at risk of overheating and there are inflationary pressures , reducing",,
20160721_1_18_1_1,"In China , macro policies need to be adjusted for a moderate slowdown , allowing growth to settle at a sustainable level",0,0
20160721_1_1_1_2,`` Brexit '' would help reduce the risk of a protracted tightening of financial conditions,,
20160721_1_5_1_2,should the impact of financial market turbulence and higher uncertainty threaten to materially weaken the global outlook,0,0
20160721_1_11_1_1,"Where monetary policy is becoming over - burdened , domestic policy coordination can help to make macroeconomic support effective",,
20160721_1_1_1_1,Reducing uncertainties surrounding,,
20160721_1_4_1_1,"Where required and feasible , more supportive macroeconomic policies can reduce the short-term impact on growth",,
20160721_1_28_1_1,"More fiscal stimulus in advanced surplus economies with fiscal space , continuing monetary support and growth-friendly fiscal rebalancing in deficit economies , and structural reforms would contribute to external rebalancing",,
20160721_1_24_1_1,"With shrinking fiscal buffers , many commodity exporters need to develop new growth models and tackle fiscal adjustment , including through reduced but more efficient public expenditures , stronger fiscal frameworks , and mobilizing new sources of revenues",0,0
20160721_1_9_1_1,"Short-term demand support still has an important part to play in advanced economies , but needs greater emphasis on growth-friendly fiscal policies",,
20160721_1_30_1_1,"Facilitating diversification and expansion of the non-commodity sector in Brazil , Saudi Arabia and South Africa , and further labor market reform for example , in France , Spain , and South Africa would boost productivity and competitiveness in economies with external positions weaker than fundamentals .",-9,-9
20160721_1_17_1_2,emerging economies should rebuild policy buffers,0,0
20160721_1_2_1_2,that will guide discussions between the United Kingdom and the E.U,0,0
20160721_1_16_1_1,"There is a clear case for the Fed to proceed along a very gradual upward path for the fed funds rate , conscious of global disinflationary trends and confirming along the way",-1,1
20160721_1_3_1_1,Of primary importance is a smooth and predictable transition to a new set of post-exit trading and financial relationships,-9,-9
20160721_1_21_1_1,"In Brazil , the room for monetary policy easing is limited by underlying inflationary pressures",,
20160721_1_15_1_1,"In the United States , Federal Reserve policy should remain data dependent",0,0
20160721_1_10_1_1,"In a majority of advanced countries , output gaps remain negative , weak labor markets threaten to permanently scar especially the young in the workforce ,",,
20160721_1_14_1_1,"Central banks should continue to use all available instruments to raise inflation , including negative interest rates , where appropriate , while carefully monitoring the potential impact on banks , pension funds and insurance companies as well as market functioning",-9,-9
20160721_1_23_1_1,The quality of fiscal consolidation in India should be improved through a comprehensive tax reform such as introducing the goods and services tax and improving tax administration and measures to further reduce subsidies,0,0
20160721_1_16_1_2,that wage and price inflation are indeed maintaining their steady upward momentum,0,0
20160721_1_25_1_2,that the effects of currency depreciations on balance sheets and domestic inflation rates are contained,0,0
20160721_1_27_1_1,The right policies will also help to reduce external imbalances,0,0
20160721_1_21_2_1,fiscal consolidation should continue to reduce large deficits,,
20160721_1_29_1_1,"For instance , streamlining service or product sector regulations in surplus economies for example , in Japan , Korea , and Germany will encourage domestic demand and relative price adjustments",0,0
20160721_1_26_1_1,"Even as vulnerabilities are addressed , emerging economies",0,0
20160721_1_10_2_1,inflation is low and far off target,,
20160721_1_22_1_1,"The new government should complement the proposed cap on federal noninterest spending with tax measures and address spending rigidities and unsustainable mandates , including in the pension system",0,0
20160721_1_5_1_1,Policymakers should stand ready to act more aggressively,0,0
20160721_1_12_1_2,which anchor fiscal and monetary policy in the long run while allowing for effective demand management in the short run,0,1
20160721_1_3_1_2,that as much as possible preserves gains from trade,-9,-9
20160721_1_8_1_1,"Over the medium run , priority should be given to completing the banking union , strengthening the single market , and moving closer to a fiscal union",0,0
20160721_1_12_1_1,"This requires a broad-based approach combining all available policy tools and strong policy frameworks ,",,
20160721_1_19_1_1,"This requires slowing credit expansion and switching from off-budget investment to more on-budget , pro-consumption measures",,
20160721_1_6_1_1,"In the euro area , policymakers should work together to demonstrate their continuing commitment to the E.U",0,0
20160721_1_2_1_1,It will be important to have clarity on the process and objectives,0,0
20160721_1_25_1_1,"rate flexibility can usefully cushion the impact of adverse external shocks , provided",0,0
20160721_1_26_1_2,can continue to be a strong locomotive of global economic and trade growth through well-sequenced structural reforms,,
20160721_1_13_1_1,Specifically : Monetary policy,-9,-9
20160721_1_26_1_3,that provide near-term demand support,,
20160721_1_20_1_1,"Strengthening transparency , especially in communicating policy objectives and enhancing data quality , will be key to minimize spillovers and financial volatility",0,0
20160721_1_17_1_1,"To avoid the risk of a hard landing and lower their exposure to capital flow reversals ,",0,0
20160721_1_7_1_1,the monetary union including by agreeing on a common policy response to the refugee surge and securing external borders,,
20111015_1_11_1_2,that do implement strong recapitalization programs should not be left to fall into a downward spiral for lack of adequate external support,,
20111015_1_3_1_2,is the top priority for the euro area,0,0
20111015_1_20_1_2,"if growth begins to slow substantially , emerging economies with fiscal space China , Indonesia , Mexico , and South Africa should ease the pace of consolidation , including by allowing automatic stabilizers to fully operate",-9,-9
20111015_1_10_1_1,This might necessitate additional measures to make the facility more effective,-9,-9
20111015_1_4_1_1,Recovery in advanced economies will need readily - available credit to allow easy monetary conditions to pass through,,
20111015_1_21_1_1,"Most emerging G-20 economies need to bolster their financial stability frameworks to cope with volatile capital flows , including notably from sharp swings in global risk aversion .",,
20111015_1_14_1_1,There is scope for lower ECB policy rates,0,0
20111015_1_8_1_1,National backstops should be used,0,0
20111015_1_15_1_1,"The Federal Reserve , Bank of England , and Bank of Japan should stand ready to continue their deployment of unconventional measures and take further steps",0,1
20111015_1_12_1_1,Monetary policy : maintain accommodation,1,1
20111015_1_2_1_1,restructure and resolve weak banks,-9,-9
20111015_1_5_1_1,"Building bank capital buffers will help to achieve this by breaking the adverse feedback loop between rising sovereign spreads , deteriorating bank funding , and flagging activity",0,0
20111015_1_9_1_1,"Ultimately , in some European cases , this may well entail the use of pooled euro area resources , including EFSF funds",0,0
20111015_1_1_1_1,Financial repair : strengthen capital buffers,-9,-9
20111015_1_7_1_1,But public capital injections may also be necessary,0,0
20111015_1_19_1_1,Fiscal positions should generally aim at rebuilding policy space,0,0
20111015_1_13_1_1,"Given falling confidence and activity as well as well-anchored inflation expectations , monetary policy in advanced G-20 economies should remain very accommodative",,
20111015_1_3_1_1,"Along with addressing sovereign tensions , removing uncertainty about the resilience of banks",0,0
20111015_1_18_1_1,Monetary policy should be the first response to spillovers from advanced economies,0,0
20111015_1_16_1_1,Prudential authorities will need to be watchful of risks flowing from low interest rates,0,0
20111015_1_15_1_2,if needed,0,0
20111015_1_6_1_1,"Policymakers should urge banks in need of capital to raise it from private sources , and either restructure or resolve weak banks",-9,-9
20111015_1_18_1_2,as long as inflationary pressures remain in check,0,0
20111015_1_17_1_1,"Emerging G-20 economies need to be nimble in dealing with potentially adverse spillovers from advanced economies , and continue to strengthen macroeconomic policy frameworks",,
20111015_1_11_1_1,"Importantly , countries",,
20111015_1_8_1_2,where fiscal space exists,0,0
20111015_1_20_1_1,"However ,",,
20170705_1_4_1_3,while at the same time having positive spillovers to other euro area economies,0,0
20170705_1_7_1_1,"Where public debt is elevated , fiscal space should be re-built through growth-friendly consolidation Brazil , India , Mexico",,
20170705_1_10_1_1,"For example , in the short term , some excess - surplus economies would benefit from using available fiscal space to boost public investment or domestic demand more broadly including Germany and Korea helping also to reduce their excessive current account surpluses",-9,-9
20170705_1_15_1_2,"where monetary policy is constrained , as in individual euro area members , fiscal and structural policies",,
20170705_1_9_1_1,Joint policy action by surplus and deficit economies would help address external imbalances in a growth-friendly way benefiting all,-9,-9
20170705_1_2_1_2,"that the ratio of debt to GDP is on a downward path , while supporting the longer-term potential of the economy",,
20170705_1_6_1_3,the exchange rate act as a buffer against shocks,0,0
20170705_1_11_1_1,"At the same time , excess-deficit economies such as the United States and the United Kingdom should embark on growth-friendly fiscal consolidation",,
20170705_1_12_1_1,"To tackle structural imbalances , advanced",0,0
20170705_1_4_1_2,"it would also support external adjustment ,",0,0
20170705_1_14_1_1,"Excess-deficit economies , on the other hand , need to implement structural reforms to improve competitiveness ,",,
20170705_1_3_1_3,"Japan , euro area and available fiscal space should be used actively to provide further additional support",,
20170705_1_12_1_2,"excess-surplus economies should implement policies to reduce barriers to foreign competition and domestic investments in certain sectors , especially services , and to increase labor force participation of the elderly",,
20170705_1_2_1_1,fiscal policy should ensure,0,0
20170705_1_4_1_4,where there is still cyclical slack,0,0
20170705_1_13_1_1,"Excess-surplus emerging markets should focus on expanding social safety nets and reducing direct and indirect obstacles to trade , including subsidies and other forms of state support , for example to state-owned enterprises",-9,-9
20170705_1_6_1_2,"wherever possible , policymakers should continue to let",,
20170705_1_5_1_1,In countries,,
20170705_1_6_1_1,"In emerging markets ,",,
20170705_1_1_1_1,"In the United States , monetary policy should continue to gradually normalize and remain data dependent ,",-1,1
20170705_1_3_1_2,"where inflation is still below central bank targets and output gaps remain negative , monetary policy should stay supportive",1,1
20170705_1_5_1_2,"where fiscal adjustment is needed to avoid destabilizing debt dynamics and rebuild policy buffers , consolidation is appropriate and should be supported by growth-friendly measures for example , in Italy",,
20170705_1_8_1_2,"where there are still significant output gaps , but the scope for monetary easing is constrained by above-target inflation",-9,-9
20170705_1_15_1_3,to facilitate relative price adjustments should take priority .,0,0
20170705_1_3_1_1,"In contrast ,",,
20170705_1_1_2_1,plans for the Fed 's balance sheet should be well-communicated,,
20170705_1_15_1_1,"More generally ,",,
20170705_1_8_1_1,A growth - friendly approach is particularly important,-9,-9
20170705_1_14_1_2,which may include wage moderation in line with productivity growth,0,0
20170705_1_4_1_1,"A more expansionary fiscal stance in Germany would not only allow a much-needed increase in public investment and raise potential output ,",,
20151115_1_16_1_2,"has supported confidence and eased financial conditions ,",,
20151115_1_10_1_1,"Accommodative monetary policies remain essential in many advanced economies , given still sizable output gaps and low inflation",0,1
20151115_1_6_1_2,when market conditions turn disorderly,-9,-9
20151115_1_1_1_1,"To secure a strong and durable recovery , policies need a decisive upgrade",0,0
20151115_1_6_1_1,"Where feasible , exchange rate flexibility should serve as a shock absorber , with a temporary role for both intervention and capital flow management measures",-9,-9
20151115_1_16_2_1,inflation remains low,,
20151115_1_23_1_2,which are expanding rapidly,0,0
20151115_1_4_1_2,"where conditions allow ,",-9,-9
20151115_1_14_1_1,"The Federal Open Market Committee 's FOMC decision should remain data-dependent , with the first increase in the federal funds rate waiting",,
20151115_1_22_1_2,to complete and implement the regulatory reform agenda,0,0
20151115_1_30_1_1,"Specifically , implementing the 2010 quota and governance reforms , including their forward-looking elements , is imperative to provide the resources , credibility , and legitimacy",,
20151115_1_19_1_1,Stricter treatment of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard,0,0
20151115_1_18_1_1,These monetary policy efforts should be supported by measures to strengthen bank balance sheets and thereby improve monetary policy transmission and credit market conditions,0,0
20151115_1_9_1_1,Collective effort is also required to further enhance global safety nets and strengthen the International Monetary System,0,0
20151115_1_4_1_1,Fiscal policy should be more supportive,-9,-9
20151115_1_17_1_1,A strong commitment to fully implement the asset purchase program and adjust the program,0,0
20151115_1_2_1_1,Raising both actual and potential output through a combination of demand support and structural reforms remains a key policy objective,0,0
20151115_1_16_1_1,"In the euro area , the ECB 's expanded asset purchase program",,
20151115_1_23_1_1,Advanced economies should strengthen regulation and supervision of financial activities outside the banking system,0,0
20151115_1_14_1_2,until continued strength in the labor market is accompanied by firm signs of inflation rising steadily toward the Federal Reserve 's 2 percent medium-term inflation objective,,
20151115_1_22_1_1,"At a global level , there is a pressing need",0,0
20151115_1_12_1_1,"Accommodative monetary policies should be accompanied by efforts to strengthen balance sheets and credit supply , and by active macroprudential measures",0,0
20151115_1_20_1_1,"In Japan , the Bank of Japan should stand ready for further easing , preferably by extending purchases under its quantitative and qualitative monetary easing program to longer-maturity assets",1,1
20151115_1_15_1_1,"An effective monetary policy communication strategy will remain essential , particularly in an environment of higher financial market volatility",0,0
20151115_1_29_1_1,"Episodes of volatile capital flows and exchange rates , along with continuing precautionary reserve accumulation , also suggest the need for further collective efforts to strengthen the IMS",0,0
20151115_1_12_1_2,that address financial stability risks,0,0
20151115_1_11_1_1,"With nominal policy rates still at or close to the zero lower bound in many economies , monetary policy must remain accommodative , including through unconventional measures , to reduce risks to activity from low inflation and prolonged weak demand",1,1
20151115_1_17_1_2,if needed will help meet ECB 's price stability objective,0,0
20151115_1_3_1_1,"In advanced economies , accommodative monetary policy remains essential",0,1
20151115_1_27_1_1,"However , the global financial safety net remains underused during periods of turbulence , with uneven access and a multilayered structure for example , regional financing arrangements , bilateral swap lines , and Fund financing",0,0
20151115_1_5_1_1,"Many emerging economies have limited scope for monetary and fiscal policy to support growth , with inflation still above target in some economies , and fiscal positions weaker than desirable in others",-9,-9
20151115_1_26_1_1,"Past steps to strengthen the policy dialogue on global imbalances , to manage capital flows , and to broaden the global financial safety net have been important",-9,-9
20151115_1_4_1_3,even as credible medium-term budget plans are put in place,-9,-9
20151115_1_8_1_1,"Helping China in its difficult transition will also reduce tail risks and facilitate stronger , more durable global growth",-9,-9
20151115_1_28_1_1,More coordination is necessary to avoid fragmentation,0,0
20151115_1_30_1_2,the Fund needs to play an effective role in overseeing the IMS .,0,0
20151115_1_7_1_1,Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,0,0
20151115_1_13_1_1,"In the United States , the main near-term policy question is the appropriate timing and pace of monetary policy normalization",,
20151115_1_25_1_1,Collective efforts to enhance the global safety net and strengthen the resilience of the International Monetary System IMS should be renewed,0,0
20151115_1_21_1_1,The Bank of Japan should move to a more forecast-oriented monetary policy communication mode to increase the transparency of its price assessments and signal its commitment to the inflation target,-9,-9
20151115_1_24_1_1,"In emerging market economies , solid policy frameworks will be crucial",0,0
20120225_1_14_1_2,where there are risks of overheating in some sectors such as real estate .,0,0
20120225_1_4_2_1,efforts may become self-defeating,,
20120225_1_11_1_3,"as needed , further unconventional measures",0,0
20120225_1_8_1_1,"If downside risks materialize , the Federal Reserve , Bank of England , and Bank of Japan should stand ready to expand unconventional support",1,1
20120225_1_3_1_1,greater confidence in policymakers ' ability to act decisively,,
20120225_1_11_1_1,"This could be achieved by lowering the target policy rate ,",-9,-9
20120225_1_14_1_1,But this must be accompanied by macro - prudential and enhanced financial supervision,-9,-9
20120225_1_7_1_1,"Monetary policy should continue to support growth ,",-9,-9
20120225_1_10_1_1,"The ECB 's monetary policy should be highly accommodative , consistent with its mandate of ensuring price stability",1,1
20120225_1_9_1_3,where the transmission mechanism is impaired,0,0
20120225_1_5_1_1,"Reestablishing confidence and resolving the current crisis requires a cohesive , comprehensive , and cooperative package of policies across the G-20",,
20120225_1_7_2_1,unemployment is high,-9,-9
20120225_1_7_1_2,as inflation expectations remain anchored,-9,-9
20120225_1_4_1_1,"Importantly , the type , scale , and timing of adjustment should not be the same , but depend on each country 's own circumstances ,",,
20120225_1_1_1_1,The three requirements for a more resilient recovery are : sustained but gradual fiscal adjustment,0,0
20120225_1_11_1_2,"for which room exists , and ,",0,0
20120225_1_9_1_1,Targeted programs to ease,0,0
20120225_1_13_1_1,"Where inflationary pressures are diminishing and fiscal fundamentals are weak , monetary policy can be eased",1,1
20120225_1_9_1_2,credit constraints would be also useful,0,0
20120225_1_2_1_1,"ample liquidity and easy monetary policy , particularly in advanced economies",-9,-9
20120225_1_12_1_1,"Also , the ECB should continue to provide liquidity and stay fully engaged in securities purchases to help improve the prospects for financial stability",0,1
20120225_1_6_1_1,Liquidity and Monetary Policy,-9,-9
20090708_1_22_1_3,"while the nascent recovery is still fragile , monetary authorities will need to communicate clearly the objectives and the tools of their unconventional policies , as well as their exit strategies",0,0
20090708_1_12_1_1,Monetary policy in emerging economies has to balance the need to support demand against the risk of exacerbating capital outflows or deteriorating credit quality,0,0
20090708_1_7_1_2,"where credit intermediation remains impaired , central banks should continue to explore unconventional measures to stimulate economic activity and improve credit flows",1,1
20090708_1_29_1_1,"As market conditions normalize and a self-sustaining recovery is established , exit strategies will need to be implemented in timely fashion to ensure a smooth transition back to private intermediation , to avoid a buildup of future risks to price and financial stability , and to safeguard public finances",-9,-9
20090708_1_9_1_1,"That said , forceful monetary easing , including unconventional measures , large - scale provision of liquidity , and the support for and resolution of systemically important institutions have reduced extreme stress in financial conditions",,
20090708_1_18_1_1,"clear and effective exit strategies from exceptional policy actions will be central to ensure a smooth return to normal market functioning , to safeguard the sustainability of public finances , and to contain concerns about inflation",,
20090708_1_1_1_1,"Major central banks have acted aggressively , easing policy rates to near zero and using their balance sheets to directly support intermediation",0,0
20090708_1_10_1_2,"declined sharply , with some falling below pre-Lehman levels ,",,
20090708_1_9_1_2,that prevailed in late-2008 Figure 3,,
20090708_1_4_1_1,"As a result , central banks have also taken a number of unconventional measures , including direct intervention in credit markets",0,0
20090708_1_24_1_3,as market conditions normalize,-9,-9
20090708_1_28_1_1,"Given the still-fragile nature of the turnaround in global activity and financial markets , the paramount objectives for monetary ,",,
20090708_1_30_1_1,"Finally , new policy frameworks compatible with a needed shift in the pattern of global demand would facilitate adjustment to a more sustainable and resilient configuration for global growth in the years ahead .",0,0
20090708_1_11_1_2,that the liquidity shock could have triggered cascading insolvencies in the financial sector,0,0
20090708_1_27_2_1,"its aftermath will require coherent and determined policy actions , orderly exits , and new frameworks to address the challenges facing the global economy",,
20090708_1_24_1_2,where the scale of intervention is determined by private demand should unwind naturally,-9,-9
20090708_1_16_1_1,"Looking forward , the appreciation of exchange rates since the first quarter will help support domestic demand , consistent with broader need to rebalance the global economy towards higher consumption in those economies",0,0
20090708_1_13_2_2,in order to avoid disorderly exchange rate moves or triggering capital outflows,0,0
20090708_1_28_1_2,"fiscal , and financial sector policies are continued support for the recovery , fully restoring the financial sector to health , and limiting downside risks",,
20090708_1_17_1_1,"Also , authorities will need to remain vigilant against the prospect of deteriorating credit quality emerging as a result of the monetary policy easing undertaken so far",0,0
20090708_1_3_1_1,"However , the impact of policy rates reductions on credit conditions , including notably on borrowing rates , has been limited by financial disruptions",0,0
20090708_1_7_1_1,"Moreover ,",,
20090708_1_2_1_1,With the exception of the ECB,,
20090708_1_6_2_1,central banks should signal,,
20090708_1_20_1_3,that could set back the healing process and the incipient recovery,0,0
20090708_1_6_2_3,until a durable recovery is in sight,0,1
20090708_1_16_1_2,that had accumulated reserves before the financial crisis,0,0
20090708_1_11_1_1,3 Provision of guarantees on bank funding and expanded liquidity facilities have helped reduce tail risks,,
20090708_1_10_1_1,The Fund 's financial stress indices for the major advanced economies have all,0,0
20090708_1_8_1_2,"as short-term liquidity support to banks has been partly unwound , the Federal Reserve and Bank of England 's balance sheets are now expanding again on the back of massive asset purchases",-9,-9
20090708_1_21_1_2,that inflation could rise rapidly,0,0
20090708_1_13_1_1,"Sharp declines in food and fuel prices have provided the room for central banks in many of these economies to lower interest rates ,",,
20090708_1_6_2_2,that interest rates will remain low,1,1
20090708_1_19_1_2,"as signs of an economic turnaround in the global economy become more prevalent , markets have begun to express their concern about the future ramifications of unprecedented policy actions and massive public intervention",0,0
20090708_1_13_2_1,they have been appropriately cautious,,
20090708_1_23_1_1,Appropriate sequencing is important for an orderly withdrawal,0,0
20090708_1_25_1_1,"The unwinding of medium - and long-term asset purchases is likely to be more gradual ,",,
20090708_1_25_2_2,that balances the risks to economic growth and price stability,0,0
20090708_1_25_2_1,new instruments may be required to re-absorb liquidity in a manner,,
20090708_1_14_1_1,"Large international reserves have provided scope , in some cases , to counter exchange rate volatility and sustain the availability of foreign currency funding , for example for trade finance",0,0
20090708_1_19_1_1,"Although short-term policy requirements remain paramount ,",,
20090708_1_6_1_1,"Where room exists , policy rates should be cut further ,",1,1
20090708_1_20_1_1,"To unwind policies in an orderly manner and reassure markets , policy makers will need to develop and communicate plans",,
20090708_1_5_1_2,until a sustained recovery takes hold,-9,-9
20090708_1_8_1_1,"While the size of central bank balance sheets has come off their late 2008 highs ,",-9,-9
20090708_1_5_1_1,Monetary policy should remain supportive,-9,-9
20090708_1_10_1_3,although they remain significantly elevated relative to levels prior to the crisis,0,0
20090708_1_2_1_2,"which cut its refinancing rate further by 25 basis points to one percent in early May , major advanced country central banks are now effectively at the lower bound for policy rates",,
20090708_1_27_1_1,"To summarize , responding to an unprecedented global crisis",,
20090708_1_3_1_2,"that have weakened the monetary transmission mechanism , with banks continuing to tighten lending standards , albeit at a slower pace more recently",0,0
20090708_1_15_1_1,"However , reserve stockpiles have been reduced , leaving less room for maneuver",0,0
20090708_1_24_1_1,Short-term credit operations,-9,-9
20090708_1_20_1_2,"that achieve timely and smooth exits for extraordinary monetary , fiscal , and financial sector interventions , while being careful to avoid a premature withdrawal of support",,
20090708_1_26_1_1,Monetary policy frameworks will also need to pay renewed attention to the role of asset prices and financial stability in the pursuit of their core mandates,0,0
20090708_1_22_1_1,To balance inflation concerns particularly in conjunction with the large increase in government indebtedness and central bank balance sheets and the risk,0,0
20090708_1_21_1_1,Central banks will need to devise plans to exit from unconventional measures to ensure a smooth return to private intermediation and to forestall concerns,0,0
20090708_1_22_1_2,that liquidity is prematurely withdrawn,0,0
